Student_ID,Hours_Studied,Attendance,Previous_GPA,Sleep_Hours,Coding_Experience,Course_Type,Projects_Completed,Exam_Score,Expected_Score,Performance_Gap
1,5.1,61.3,3.28,4.3,Beginner,Cloud,10,47.8,65.5,-17.700000000000003
2,11.5,85.5,2.17,6.7,Intermediate,AI/ML,12,66.9,97.5,-30.599999999999994
3,9.1,72.6,2.32,6.7,Beginner,Web Dev,4,81.5,85.5,-4.0
4,7.6,80.3,3.8,7.2,Beginner,Data Science,6,88.8,78.0,10.799999999999997
5,2.7,96.3,3.21,7.6,Intermediate,Cloud,7,76.0,53.5,22.5
6,2.7,70.0,2.02,8.9,Beginner,Web Dev,0,54.6,53.5,1.1000000000000014
7,1.6,76.4,2.2,6.6,Intermediate,Web Dev,5,72.4,48.0,24.400000000000006
8,10.5,90.2,3.33,5.6,Beginner,Cloud,0,71.8,92.5,-20.700000000000003
9,7.6,69.2,2.01,8.0,Advanced,Web Dev,1,52.4,78.0,-25.6
10,8.8,63.1,2.32,5.4,Advanced,AI/ML,14,83.2,84.0,-0.7999999999999972
11,1.2,71.6,3.1,6.2,Beginner,Web Dev,0,51.8,46.0,5.799999999999997
12,11.7,66.4,3.38,4.4,Beginner,AI/ML,10,98.0,98.5,-0.5
13,10.2,97.2,3.3,4.1,Beginner,AI/ML,4,60.0,91.0,-31.0
14,3.3,92.3,2.45,8.8,Advanced,Cloud,9,55.2,56.5,-1.2999999999999972
15,3.0,85.3,3.42,8.2,Beginner,Web Dev,14,35.4,55.0,-19.6
16,3.0,94.9,2.47,7.5,Advanced,Cloud,8,65.0,55.0,10.0
17,4.3,92.1,2.65,6.0,Intermediate,Web Dev,5,67.0,61.5,5.5
18,6.8,67.5,3.49,4.9,Advanced,Web Dev,10,59.9,74.0,-14.100000000000001
19,5.8,95.7,3.3,4.8,Advanced,Data Science,10,61.3,69.0,-7.700000000000003
20,4.2,81.6,3.7,5.3,Intermediate,Web Dev,0,45.1,61.0,-15.899999999999999
21,7.7,92.3,3.32,6.7,Advanced,Cloud,12,77.6,78.5,-0.9000000000000057
22,2.5,95.8,3.14,7.6,Beginner,AI/ML,0,66.8,52.5,14.299999999999997
23,4.2,72.7,2.19,7.3,Beginner,Web Dev,1,46.2,61.0,-14.799999999999997
24,5.0,64.4,2.74,5.4,Advanced,Data Science,8,72.6,65.0,7.599999999999994
25,6.0,69.1,2.53,8.8,Beginner,Cloud,2,62.0,70.0,-8.0
26,9.6,77.1,2.49,7.7,Advanced,Web Dev,14,76.1,88.0,-11.900000000000006
27,3.2,92.7,3.95,6.8,Beginner,Cloud,0,54.4,56.0,-1.6000000000000014
28,6.7,94.4,2.79,7.1,Beginner,Data Science,4,58.0,73.5,-15.5
29,7.5,60.3,3.78,6.1,Advanced,Data Science,6,69.2,77.5,-8.299999999999997
30,1.5,80.4,3.26,5.2,Beginner,Cloud,5,29.5,47.5,-18.0
31,7.7,76.7,3.59,5.8,Advanced,Web Dev,11,100.0,78.5,21.5
32,2.9,68.9,3.01,7.8,Beginner,AI/ML,0,55.0,54.5,0.5
33,1.7,64.8,3.15,4.1,Beginner,Data Science,4,38.0,48.5,-10.5
34,11.4,73.5,2.99,4.6,Intermediate,Web Dev,14,100.0,97.0,3.0
35,11.6,97.7,2.39,4.2,Intermediate,Web Dev,4,96.3,98.0,-1.7000000000000028
36,9.9,72.9,3.44,4.2,Advanced,AI/ML,5,86.2,89.5,-3.299999999999997
37,4.4,80.8,2.56,8.3,Intermediate,Data Science,2,71.2,62.0,9.200000000000003
38,2.1,88.1,2.05,7.5,Advanced,Data Science,4,61.9,50.5,11.399999999999999
39,8.5,74.5,3.29,6.4,Intermediate,Web Dev,6,74.5,82.5,-8.0
40,5.8,98.9,2.35,4.5,Beginner,Web Dev,4,60.4,69.0,-8.600000000000001
41,2.3,98.5,3.88,6.5,Advanced,AI/ML,4,47.4,51.5,-4.100000000000001
42,6.4,70.1,3.91,6.4,Advanced,AI/ML,4,37.5,72.0,-34.5
43,1.4,79.9,3.83,4.9,Beginner,Data Science,9,24.3,47.0,-22.7
44,11.0,72.0,2.74,6.2,Advanced,Cloud,9,100.0,95.0,5.0
45,3.8,71.4,2.03,6.0,Advanced,Data Science,2,83.7,59.0,24.700000000000003
46,8.3,61.5,3.86,7.1,Intermediate,Web Dev,0,77.8,81.5,-3.700000000000003
47,4.4,84.4,2.86,7.2,Advanced,Data Science,4,70.6,62.0,8.599999999999994
48,6.7,80.1,3.93,4.2,Beginner,Cloud,13,78.2,73.5,4.700000000000003
49,7.0,62.1,3.93,5.9,Intermediate,AI/ML,8,100.0,75.0,25.0
50,3.0,71.1,3.71,7.1,Intermediate,Cloud,13,71.8,55.0,16.799999999999997
51,11.7,96.3,2.59,6.5,Beginner,Cloud,0,96.6,98.5,-1.9000000000000057
52,9.5,69.6,2.77,8.3,Beginner,Cloud,2,73.2,87.5,-14.299999999999997
53,11.3,65.8,3.7,7.3,Intermediate,AI/ML,12,72.4,96.5,-24.099999999999994
54,10.8,79.6,2.63,4.8,Advanced,Cloud,12,97.1,94.0,3.0999999999999943
55,7.6,99.4,2.34,4.4,Intermediate,Cloud,3,66.7,78.0,-11.299999999999997
56,11.1,69.7,3.11,7.2,Beginner,Cloud,13,74.2,95.5,-21.299999999999997
57,2.0,86.9,3.87,4.1,Intermediate,Web Dev,0,40.3,50.0,-9.700000000000003
58,3.2,90.5,3.39,6.9,Beginner,Cloud,0,39.8,56.0,-16.200000000000003
59,1.5,69.5,3.14,8.7,Intermediate,AI/ML,7,72.8,47.5,25.299999999999997
60,4.6,89.1,2.19,6.9,Advanced,Cloud,1,76.2,63.0,13.200000000000003
61,5.3,74.7,3.23,5.9,Intermediate,Cloud,11,66.4,66.5,-0.09999999999999432
62,4.0,85.3,3.98,7.2,Intermediate,AI/ML,14,82.2,60.0,22.200000000000003
63,10.1,85.3,2.28,6.3,Beginner,Cloud,7,91.7,90.5,1.2000000000000028
64,4.9,81.4,3.04,6.7,Beginner,AI/ML,6,51.6,64.5,-12.899999999999999
65,4.1,63.6,3.75,8.7,Beginner,Cloud,9,83.3,60.5,22.799999999999997
66,7.0,93.4,3.48,5.9,Intermediate,AI/ML,9,83.1,75.0,8.099999999999994
67,2.6,72.8,3.39,8.8,Advanced,Cloud,1,37.4,53.0,-15.600000000000001
68,9.8,67.5,3.4,8.5,Beginner,Cloud,5,86.1,89.0,-2.9000000000000057
69,1.8,61.6,2.72,5.0,Beginner,Web Dev,5,35.9,49.0,-13.100000000000001
70,11.9,83.6,2.59,4.3,Intermediate,Web Dev,2,78.8,99.5,-20.700000000000003
71,9.5,87.1,3.62,4.5,Beginner,Cloud,10,100.0,87.5,12.5
72,3.2,60.7,3.62,4.1,Advanced,Cloud,1,84.6,56.0,28.599999999999994
73,1.1,80.5,3.73,4.5,Advanced,Data Science,11,24.5,45.5,-21.0
74,10.0,69.1,3.83,7.4,Beginner,AI/ML,0,98.4,90.0,8.400000000000006
75,8.8,85.8,3.02,4.4,Beginner,Data Science,5,74.2,84.0,-9.799999999999997
76,9.0,67.0,3.0,5.6,Intermediate,Web Dev,11,77.7,85.0,-7.299999999999997
77,9.5,87.6,3.6,8.2,Advanced,Web Dev,4,78.6,87.5,-8.900000000000006
78,1.8,75.5,3.3,4.1,Advanced,Web Dev,13,36.0,49.0,-13.0
79,4.9,97.5,3.4,8.1,Beginner,Web Dev,13,65.2,64.5,0.7000000000000028
80,2.3,65.5,3.59,5.4,Intermediate,Cloud,10,39.0,51.5,-12.5
81,10.5,73.6,3.78,4.6,Advanced,Web Dev,8,96.6,92.5,4.099999999999994
82,7.9,64.5,2.68,7.5,Advanced,Cloud,0,78.7,79.5,-0.7999999999999972
83,4.6,97.0,2.75,7.1,Intermediate,Cloud,14,59.4,63.0,-3.6000000000000014
84,1.7,95.1,2.19,8.4,Intermediate,Web Dev,14,34.9,48.5,-13.600000000000001
85,4.4,70.3,3.16,7.7,Advanced,Web Dev,6,53.3,62.0,-8.700000000000003
86,4.6,86.4,2.07,8.0,Advanced,AI/ML,14,74.3,63.0,11.299999999999997
87,9.0,92.7,2.93,5.4,Intermediate,Data Science,4,92.5,85.0,7.5
88,8.0,82.2,3.09,4.9,Advanced,Web Dev,4,65.3,80.0,-14.700000000000003
89,10.8,81.2,2.57,7.8,Beginner,AI/ML,13,95.5,94.0,1.5
90,6.2,69.7,3.18,8.0,Beginner,AI/ML,1,82.3,71.0,11.299999999999997
91,2.3,63.7,2.06,9.0,Intermediate,Data Science,10,26.5,51.5,-25.0
92,8.8,95.9,2.07,6.1,Intermediate,Cloud,2,92.2,84.0,8.200000000000003
93,9.4,96.0,3.65,5.9,Intermediate,Web Dev,6,77.1,87.0,-9.900000000000006
94,7.2,85.3,2.72,7.9,Beginner,Data Science,5,84.6,76.0,8.599999999999994
95,9.5,73.6,2.25,5.7,Advanced,Web Dev,11,76.1,87.5,-11.400000000000006
96,6.4,74.0,3.04,8.7,Beginner,AI/ML,1,44.9,72.0,-27.1
97,6.8,89.0,3.54,8.3,Advanced,AI/ML,5,49.6,74.0,-24.4
98,5.7,95.9,2.43,6.1,Beginner,Cloud,1,69.2,68.5,0.7000000000000028
99,1.3,95.5,3.25,7.8,Advanced,AI/ML,1,50.4,46.5,3.8999999999999986
100,2.2,91.2,2.17,7.8,Beginner,AI/ML,1,37.4,51.0,-13.600000000000001
