Student_ID,Hours_Studied,Attendance,Previous_GPA,Sleep_Hours,Coding_Experience,Course_Type,Projects_Completed,Exam_Score,Expected_Score,Performance_Gap,Pass_Status,Performance_Level,Sleep_Group,Attendance_Group,Project_Group
1,9.5,96.3,2.23,7.4,Intermediate,Cloud,6,88.8,86.7,2.1,Pass,High Performer,7 to <8,90%+,4-7
2,5.8,82.9,3.11,6.9,Beginner,Cloud,4,68.3,70.6,-2.3,Pass,Satisfactory,6 to <7,80-89%,4-7
3,10.4,87.8,3.37,7.2,Intermediate,Cloud,11,100.0,97.8,2.2,Pass,High Performer,7 to <8,80-89%,8-11
4,8.7,81.4,3.19,7.7,Intermediate,Data Science,7,95.2,86.6,8.6,Pass,High Performer,7 to <8,80-89%,4-7
5,2.0,80.3,3.32,5.9,Beginner,Data Science,6,52.3,57.1,-4.8,Fail,Needs Support,Below 6,80-89%,4-7
6,11.7,74.2,2.3,7.8,Intermediate,Data Science,5,92.4,90.5,1.9,Pass,High Performer,7 to <8,70-79%,4-7
7,9.4,86.3,3.17,5.3,Beginner,Data Science,10,94.2,86.3,7.9,Pass,High Performer,Below 6,80-89%,8-11
8,9.6,73.5,2.85,7.2,Beginner,Web Dev,12,78.2,88.0,-9.8,Pass,Satisfactory,7 to <8,70-79%,12-14
9,2.4,88.7,2.76,7.0,Beginner,Cloud,2,55.7,55.6,0.1,Fail,Needs Support,7 to <8,80-89%,0-3
10,6.0,92.9,3.44,6.1,Intermediate,Data Science,8,70.6,80.1,-9.5,Pass,Satisfactory,6 to <7,90%+,8-11
11,5.1,85.7,3.74,6.8,Advanced,Cloud,7,70.8,79.1,-8.3,Pass,Satisfactory,6 to <7,80-89%,4-7
12,11.2,79.1,3.9,6.1,Beginner,AI/ML,5,88.4,93.2,-4.8,Pass,High Performer,6 to <7,70-79%,4-7
13,8.1,86.5,3.66,5.6,Intermediate,Web Dev,4,88.6,84.6,4.0,Pass,High Performer,Below 6,80-89%,4-7
14,10.1,78.9,2.95,6.4,Intermediate,AI/ML,6,85.5,88.2,-2.7,Pass,High Performer,6 to <7,70-79%,4-7
15,5.9,91.4,3.18,5.6,Beginner,AI/ML,4,64.2,69.7,-5.5,Pass,Satisfactory,Below 6,90%+,4-7
16,3.5,63.7,3.38,7.2,Intermediate,AI/ML,5,62.6,62.2,0.4,Pass,Satisfactory,7 to <8,Below 70%,4-7
17,7.1,78.6,3.06,5.5,Intermediate,AI/ML,6,65.4,75.1,-9.7,Pass,Satisfactory,Below 6,70-79%,4-7
18,1.7,62.1,3.07,7.6,Advanced,Web Dev,4,60.6,56.9,3.7,Pass,Satisfactory,7 to <8,Below 70%,4-7
19,10.1,67.0,3.41,5.5,Advanced,Data Science,3,97.8,88.2,9.6,Pass,High Performer,Below 6,Below 70%,0-3
20,7.9,95.6,2.97,6.2,Beginner,AI/ML,7,79.8,80.4,-0.6,Pass,Satisfactory,6 to <7,90%+,4-7
21,9.3,91.0,2.64,6.1,Beginner,Cloud,7,82.3,84.0,-1.7,Pass,High Performer,6 to <7,90%+,4-7
22,4.9,74.8,2.79,8.3,Intermediate,Web Dev,2,67.9,64.7,3.2,Pass,Satisfactory,8+,70-79%,0-3
23,11.7,67.0,3.32,7.2,Beginner,AI/ML,5,73.4,90.7,-17.3,Pass,Satisfactory,7 to <8,Below 70%,4-7
24,10.8,55.0,3.0,6.6,Beginner,AI/ML,4,87.1,82.5,4.6,Pass,High Performer,6 to <7,Below 70%,4-7
25,9.6,76.6,3.17,7.3,Advanced,Data Science,3,100.0,89.4,10.6,Pass,High Performer,7 to <8,70-79%,0-3
26,3.1,100.0,3.34,4.5,Beginner,AI/ML,4,55.5,56.6,-1.1,Fail,Needs Support,Below 6,90%+,4-7
27,6.1,86.3,2.81,6.8,Intermediate,Data Science,7,75.2,76.2,-1.0,Pass,Satisfactory,6 to <7,80-89%,4-7
28,1.5,76.4,3.38,9.0,Advanced,Cloud,2,60.3,54.0,6.3,Pass,Satisfactory,8+,70-79%,0-3
29,2.7,86.7,3.19,6.9,Beginner,AI/ML,7,74.8,60.9,13.9,Pass,Satisfactory,6 to <7,80-89%,4-7
30,8.5,66.4,2.38,6.9,Intermediate,Data Science,6,87.0,78.7,8.3,Pass,High Performer,6 to <7,Below 70%,4-7
31,9.2,79.0,3.72,7.4,Advanced,Web Dev,6,75.2,93.5,-18.3,Pass,Satisfactory,7 to <8,70-79%,4-7
32,11.6,83.0,2.75,7.8,Intermediate,Web Dev,3,98.2,93.4,4.8,Pass,High Performer,7 to <8,80-89%,0-3
33,4.6,81.1,2.17,4.6,Beginner,AI/ML,8,77.6,55.7,21.9,Pass,Satisfactory,Below 6,80-89%,8-11
34,5.1,89.9,2.48,4.9,Beginner,Web Dev,9,70.4,65.1,5.3,Pass,Satisfactory,Below 6,80-89%,8-11
35,6.2,85.4,2.49,7.0,Advanced,Data Science,4,65.5,75.3,-9.8,Pass,Satisfactory,7 to <8,80-89%,4-7
36,3.1,88.7,3.03,6.0,Beginner,Data Science,3,62.1,59.7,2.4,Pass,Satisfactory,6 to <7,80-89%,0-3
37,2.4,75.1,2.86,8.2,Intermediate,Data Science,5,46.5,57.4,-10.9,Fail,Needs Support,8+,70-79%,4-7
38,6.2,91.0,2.83,6.5,Beginner,AI/ML,9,84.6,74.1,10.5,Pass,High Performer,6 to <7,90%+,8-11
39,3.5,98.3,3.31,4.7,Beginner,Data Science,3,51.4,59.6,-8.2,Fail,Needs Support,Below 6,90%+,0-3
40,8.4,72.3,3.17,5.4,Advanced,AI/ML,5,81.6,80.9,0.7,Pass,High Performer,Below 6,70-79%,4-7
41,5.8,73.1,3.16,4.0,Intermediate,Web Dev,9,58.6,65.9,-7.3,Fail,Needs Support,Below 6,70-79%,8-11
42,10.2,95.4,3.2,6.5,Advanced,Web Dev,6,93.0,97.6,-4.6,Pass,High Performer,6 to <7,90%+,4-7
43,8.7,80.1,3.31,6.6,Beginner,Data Science,2,93.7,81.1,12.6,Pass,High Performer,6 to <7,80-89%,0-3
44,4.4,96.0,2.0,6.3,Intermediate,Cloud,7,67.2,66.3,0.9,Pass,Satisfactory,6 to <7,90%+,4-7
45,10.2,77.6,2.82,8.0,Advanced,Web Dev,2,84.1,88.8,-4.7,Pass,High Performer,8+,70-79%,0-3
46,9.9,96.6,2.0,8.1,Beginner,Data Science,10,76.2,86.0,-9.8,Pass,Satisfactory,8+,90%+,8-11
47,5.3,83.3,3.02,6.6,Beginner,Data Science,2,51.4,67.3,-15.9,Fail,Needs Support,6 to <7,80-89%,0-3
48,4.2,84.6,3.0,4.5,Advanced,Cloud,7,53.9,64.5,-10.6,Fail,Needs Support,Below 6,80-89%,4-7
49,8.5,97.6,3.52,7.5,Beginner,Data Science,7,88.9,87.9,1.0,Pass,High Performer,7 to <8,90%+,4-7
50,2.5,78.4,3.59,7.4,Intermediate,Data Science,2,70.0,61.7,8.3,Pass,Satisfactory,7 to <8,70-79%,0-3
51,3.2,72.6,3.1,7.1,Advanced,Data Science,7,61.8,66.6,-4.8,Pass,Satisfactory,7 to <8,70-79%,4-7
52,1.1,77.5,2.75,7.9,Beginner,Cloud,6,63.5,50.2,13.3,Pass,Satisfactory,7 to <8,70-79%,4-7
53,9.7,86.5,3.24,5.5,Beginner,Web Dev,4,79.1,85.2,-6.1,Pass,Satisfactory,Below 6,80-89%,4-7
54,8.3,66.3,2.74,9.0,Beginner,Cloud,2,67.1,69.1,-2.0,Pass,Satisfactory,8+,Below 70%,0-3
55,8.8,88.4,3.0,5.7,Beginner,Web Dev,11,76.9,86.0,-9.1,Pass,Satisfactory,Below 6,80-89%,8-11
56,9.6,76.6,3.49,7.6,Beginner,Cloud,4,93.8,85.4,8.4,Pass,High Performer,7 to <8,70-79%,4-7
57,6.0,93.5,2.72,4.9,Intermediate,Web Dev,6,89.4,71.5,17.9,Pass,High Performer,Below 6,90%+,4-7
58,7.3,58.1,3.4,5.8,Beginner,Web Dev,8,60.0,75.0,-15.0,Pass,Satisfactory,Below 6,Below 70%,8-11
59,2.5,74.1,3.34,8.5,Intermediate,Web Dev,3,55.4,58.3,-2.9,Fail,Needs Support,8+,70-79%,0-3
60,2.3,65.1,2.52,6.5,Beginner,AI/ML,4,60.3,49.5,10.8,Pass,Satisfactory,6 to <7,Below 70%,4-7
61,8.4,73.7,3.49,7.7,Beginner,AI/ML,7,68.8,81.1,-12.3,Pass,Satisfactory,7 to <8,70-79%,4-7
62,6.2,84.5,3.35,7.1,Beginner,Web Dev,8,82.0,77.2,4.8,Pass,High Performer,7 to <8,80-89%,8-11
63,7.2,80.2,3.05,6.7,Intermediate,AI/ML,2,86.0,75.7,10.3,Pass,High Performer,6 to <7,80-89%,0-3
64,9.4,79.5,2.62,8.3,Intermediate,AI/ML,3,81.1,80.5,0.6,Pass,High Performer,8+,70-79%,0-3
65,8.0,80.4,2.57,6.5,Beginner,Data Science,9,83.8,79.1,4.7,Pass,High Performer,6 to <7,80-89%,8-11
66,7.1,84.0,2.73,4.8,Advanced,Cloud,5,89.3,74.3,15.0,Pass,High Performer,Below 6,80-89%,4-7
67,7.2,71.9,3.27,5.9,Intermediate,Data Science,3,92.6,76.1,16.5,Pass,High Performer,Below 6,70-79%,0-3
68,4.3,89.1,2.52,7.4,Beginner,Web Dev,8,65.9,66.4,-0.5,Pass,Satisfactory,7 to <8,80-89%,8-11
69,1.3,88.6,3.22,7.2,Advanced,AI/ML,12,60.2,64.8,-4.6,Pass,Satisfactory,7 to <8,80-89%,12-14
70,5.8,85.9,2.38,5.1,Beginner,Cloud,6,56.7,64.5,-7.8,Fail,Needs Support,Below 6,80-89%,4-7
71,3.4,87.6,2.9,6.0,Beginner,Web Dev,9,72.6,64.3,8.3,Pass,Satisfactory,6 to <7,80-89%,8-11
72,5.5,85.0,3.05,6.2,Intermediate,AI/ML,0,56.5,68.2,-11.7,Fail,Needs Support,6 to <7,80-89%,0-3
73,10.4,100.0,4.0,6.4,Beginner,Cloud,14,99.9,100.0,-0.1,Pass,High Performer,6 to <7,90%+,12-14
74,3.6,81.1,2.31,5.3,Beginner,Cloud,7,57.2,56.3,0.9,Fail,Needs Support,Below 6,80-89%,4-7
75,1.6,78.9,3.74,6.1,Intermediate,AI/ML,4,53.9,58.2,-4.3,Fail,Needs Support,6 to <7,70-79%,4-7
76,4.1,74.5,3.07,6.0,Beginner,Data Science,2,62.7,60.3,2.4,Pass,Satisfactory,6 to <7,70-79%,0-3
77,4.2,71.7,3.21,7.6,Intermediate,AI/ML,7,88.2,66.4,21.8,Pass,High Performer,7 to <8,70-79%,4-7
78,8.3,69.6,3.06,7.7,Advanced,Data Science,6,83.0,84.0,-1.0,Pass,High Performer,7 to <8,Below 70%,4-7
79,7.1,73.1,3.22,6.6,Intermediate,Web Dev,11,78.9,82.6,-3.7,Pass,Satisfactory,6 to <7,70-79%,8-11
80,9.6,81.3,2.92,6.4,Intermediate,Web Dev,10,99.8,91.2,8.6,Pass,High Performer,6 to <7,80-89%,8-11
81,8.3,85.3,3.73,7.0,Intermediate,Data Science,7,91.2,89.2,2.0,Pass,High Performer,7 to <8,80-89%,4-7
82,5.5,82.5,2.77,5.9,Advanced,Web Dev,11,89.5,77.2,12.3,Pass,High Performer,Below 6,80-89%,8-11
83,10.0,74.3,3.57,5.5,Beginner,Data Science,5,87.2,85.8,1.4,Pass,High Performer,Below 6,70-79%,4-7
84,2.8,91.0,2.68,5.8,Beginner,AI/ML,5,54.3,56.5,-2.2,Fail,Needs Support,Below 6,90%+,4-7
85,1.2,89.4,2.97,6.1,Intermediate,Cloud,2,39.2,54.4,-15.2,Fail,Needs Support,6 to <7,80-89%,0-3
86,2.0,80.4,2.46,5.5,Intermediate,Cloud,4,38.9,52.7,-13.8,Fail,Needs Support,Below 6,80-89%,4-7
87,8.9,75.5,3.23,7.0,Beginner,AI/ML,9,68.2,83.8,-15.6,Pass,Satisfactory,7 to <8,70-79%,8-11
88,6.1,87.5,3.72,7.6,Intermediate,Data Science,8,84.7,81.4,3.3,Pass,High Performer,7 to <8,80-89%,8-11
89,2.8,83.9,2.96,5.1,Beginner,AI/ML,6,43.1,54.7,-11.6,Fail,Needs Support,Below 6,80-89%,4-7
90,6.5,67.5,2.9,6.8,Advanced,AI/ML,5,85.0,74.3,10.7,Pass,High Performer,6 to <7,Below 70%,4-7
91,2.7,81.3,2.44,6.6,Beginner,Web Dev,4,56.1,55.8,0.3,Fail,Needs Support,6 to <7,80-89%,4-7
92,8.7,84.6,2.89,7.2,Beginner,Cloud,5,79.3,81.4,-2.1,Pass,Satisfactory,7 to <8,80-89%,4-7
93,5.9,73.0,2.2,6.8,Beginner,Cloud,4,57.1,64.3,-7.2,Fail,Needs Support,6 to <7,70-79%,4-7
94,5.2,83.9,2.54,5.2,Beginner,Cloud,7,69.0,63.7,5.3,Pass,Satisfactory,Below 6,80-89%,4-7
95,4.3,67.5,3.11,5.4,Beginner,Cloud,8,54.8,61.6,-6.8,Fail,Needs Support,Below 6,Below 70%,8-11
96,7.9,95.4,3.66,6.8,Beginner,Cloud,4,75.4,83.7,-8.3,Pass,Satisfactory,6 to <7,90%+,4-7
97,5.0,94.5,4.0,7.9,Beginner,Web Dev,4,84.5,74.4,10.1,Pass,High Performer,7 to <8,90%+,4-7
98,2.0,79.5,2.71,4.4,Beginner,Cloud,5,49.3,46.3,3.0,Fail,Needs Support,Below 6,70-79%,4-7
99,2.3,85.6,3.72,7.2,Beginner,Data Science,4,59.4,61.4,-2.0,Fail,Needs Support,7 to <8,80-89%,4-7
