Experiment,Layers,Activation,Dropout,Optimizer,Learning Rate,Batch Size,Test Accuracy,Best Val Accuracy,Final Train Accuracy,Epochs,Training Time (s),Layer_Count
baseline,"[128, 64]",relu,0.2,adam,0.001,32,97.8600025177002,97.66666889190674,98.06874990463257,10,22.74487614631653,2
deeper,"[256, 128, 64, 32]",relu,0.2,adam,0.001,32,97.57000207901001,97.57500290870667,98.21666479110718,10,35.814751863479614,4
wider,"[512, 256]",relu,0.3,adam,0.001,32,97.89999723434448,97.86666631698608,98.57500195503235,10,55.081533908843994,2
tanh,"[128, 64]",tanh,0.2,adam,0.001,32,97.28999733924866,97.39999771118164,97.43541479110718,10,21.8546040058136,2
dropout_high,"[128, 64]",relu,0.5,adam,0.001,32,96.78999781608582,96.95833325386047,94.44375038146973,10,21.942894220352173,2
sgd,"[128, 64]",relu,0.2,sgd,0.01,32,95.96999883651733,96.17499709129333,94.31874752044678,10,16.133121013641357,2
lr_low,"[128, 64]",relu,0.2,adam,0.0001,32,96.56999707221985,96.64999842643738,95.38750052452087,10,21.620103120803833,2
lr_high,"[128, 64]",relu,0.2,adam,0.01,32,95.27000188827515,95.84166407585144,93.71874928474426,9,21.36515498161316,2
batch_small,"[128, 64]",relu,0.2,adam,0.001,16,97.61000275611877,97.64999747276306,97.85416722297668,10,39.70959782600403,2
batch_large,"[128, 64]",relu,0.2,adam,0.001,128,97.79000282287598,97.54999876022339,97.89583086967468,10,8.660641193389893,2
my_custom,"[256, 128, 64]",relu,0.5,adam,0.01,128,93.72000098228455,94.49166655540466,87.89166808128357,6,8.676108121871948,3
my_custom1,"[256, 128, 64]",tanh,0.3,sgd,0.001,64,88.7399971485138,88.80833387374878,82.26041793823242,10,16.25961709022522,3
my_custom2,"[256, 128, 64]",sigmoid,0.2,rmsprop,0.0001,32,92.12999939918518,92.5083339214325,90.13749957084656,10,32.387810707092285,3
very_deep,"[256, 128, 64, 32, 16]",relu,0.3,adam,0.0005,32,97.28999733924866,97.38333225250244,94.50833201408386,10,45.2937650680542,5
very_wide,"[1024, 512]",relu,0.4,adam,0.0005,64,98.15000295639038,98.04166555404663,98.59583377838135,8,51.387831926345825,2
leaky_relu,"[128, 64]",leaky_relu,0.2,adam,0.001,32,97.39000201225281,97.63333201408386,97.10000157356262,10,23.391115188598633,2
